id,brand,car_moder,car_type,desc,problem,datetime,status
512658,一汽-大众,C-TREK蔚领,2017款 1.6L 自动 舒适型,一汽大众蔚领天窗严重漏水质量差,信息审核,2020-08-22,512658
512657,华晨宝马,宝马3系,2014款 320i 自动 进取型,华晨宝马3系方向机故障方向盘无法转向,信息审核,2020-08-22,512657
512656,一汽-大众,速腾,2020款 280TSI DSG 舒适型 国VI,一汽大众速腾汽油泵故障导致发动机熄火,信息审核,2020-08-22,512656
512648,奇瑞新能源,奇瑞eQ1,2019款 小蚂蚁 智享版 4座 30.6kWh,奇瑞eQ1购车配套的充电桩没有交付,信息审核,2020-08-22,512648
512645,华晨宝马,宝马X3,2020款 xDrive30i 领先型 M运动套装,华晨宝马X3前悬挂异响要求彻底解决故障,信息审核,2020-08-22,512645
512642,一汽-大众,探岳,2020款 280TSI 两驱 豪华智联版,一汽大众探岳新车左侧前后车门大面积喷漆,信息审核,2020-08-22,512642
512630,奇瑞汽车,瑞虎8,2020款 290TGDI 自动 豪华版,奇瑞瑞虎8固铂轮胎鼓包存在质量问题,信息审核,2020-08-22,512630
512629,上汽大众,桑塔纳,2016款 1.4L 手动 风尚版 三厢,上汽大众桑塔纳车身多处生锈 半轴漏油,信息审核,2020-08-22,512629
512628,众泰汽车,众泰T600 Coupe,2017款 1.5T 手动 尊享型,众泰T600 Coupe电子手刹及驻车故障灯亮,信息审核,2020-08-22,512628
512627,BEIJING汽车,BEIJING-EU5,2018款 R550 智潮版,BEIJING-EU5充电时散热风扇噪音过大,信息审核,2020-08-22,512627
512623,上汽大通,上汽大通MAXUS G10,2019款 1.9T 手动 精英版 柴油 PLUS 国V,上汽大通G10发动机无法提速 机油增多,信息审核,2020-08-22,512623
512622,吉利汽车,帝豪GS,2019款 1.4T 手动 雅,吉利帝豪GS发动机漏机油造成皮带损坏,信息审核,2020-08-22,512622
512620,一汽丰田,卡罗拉,2019款 1.2T S-CVT 运动版,一汽丰田卡罗拉后风挡玻璃破裂厂家不解决,信息审核,2020-08-22,512620
512615,吉利汽车,博瑞,2015款 1.8T 旗舰型,吉利博瑞天窗遮阳帘卡住无法回收,信息审核,2020-08-22,512615
512583,北京现代,菲斯塔,2019款 280TGDi 智享版 国VI,北京现代菲斯塔后备箱漆面出现龟裂现象,信息审核,2020-08-22,512583
512582,东风风行,风行T5L,2020款 改款 1.5T 自动 豪华型 7座,东风风行T5L正常行驶过程中天窗突然爆裂,信息审核,2020-08-22,512582
512578,北京奔驰,奔驰GLA,2016款 200 时尚型,北京奔驰GLA轮速传感器故障导致故障灯亮,信息审核,2020-08-22,512578
512575,众泰汽车,众泰T700,2017款 1.8T 双离合 尊贵型,众泰T700后备箱电动液压杆损坏厂家无配件	,信息审核,2020-08-22,512575
512572,海马汽车,海马爱尚EV,2018款 标准型,海马爱尚EV开车过程中突然动力电池断电	,信息审核,2020-08-22,512572
512570,北京现代,途胜,2015款 1.6T   双离合 两驱 智能型,北京现代途胜冷车起步时离合器有抖动现象,信息审核,2020-08-22,512570
512567,北京现代,途胜,2015款 1.6T   双离合 两驱 智能型,北京现代途胜行驶过程中底盘有异响,信息审核,2020-08-22,512567
512566,长安汽车,悦翔,2009款 1.5L 手动 舒适型,长安悦翔车身漆面大面积爆裂要求解决,信息审核,2020-08-22,512566
512565,一汽大众,捷达VS7,2020款 1.4T 自动 悦享型,捷达VS7蓝牙有杂音 语音识别效果差,信息审核,2020-08-22,512565
512560,长城汽车,哈弗H2,2018款 1.5T 双离合 两驱 豪华型 蓝标,哈弗H2仪表盘大面积开裂希望尽快解决	,信息审核,2020-08-22,512560
512558,东风日产,天籁,2019款 2.0L XL 舒适版,东风日产天籁提前还款时收取高额手续费,信息审核,2020-08-22,512558
512556,奇瑞汽车,捷途X70,2018款 1.5T 手动 悦行版,捷途X70前后排座椅异响无法索赔	,信息审核,2020-08-22,512556
512555,吉利汽车,帝豪GS,2020款 1.4T 手动 雅,吉利帝豪GS发动机故障灯亮维修未解决,信息审核,2020-08-22,512555
512550,一汽-大众奥迪,奥迪A6L,2020款 40 TFSI 豪华动感型,一汽大众奥迪A6L不平路面行驶时底盘有异响,信息审核,2020-08-22,512550
512548,广汽本田,飞度,2014款 1.5L CVT LX舒适型,广汽本田飞度发动机启动困难要求处理,信息审核,2020-08-22,512548
512540,一汽-大众,速腾,2018款 280TSI DSG熠动版,一汽大众速腾方向盘有掉色的现象,信息审核,2020-08-22,512540
512537,上汽斯柯达,速派,2018款 TSI280 DSG 舒适版 国V,斯柯达速派发动机怠速运转时转速过低,信息审核,2020-08-22,512537
512529,华晨宝马,宝马3系,2020款 改款 325Li M运动套装,华晨宝马3系热管理模块故障导致漏防冻液,信息审核,2020-08-22,512529
512520,东风雪铁龙,C4世嘉,2016款 1.6THP 自动 旗舰型,东风雪铁龙C4世嘉方向盘间歇大4S店不保修,信息审核,2020-08-22,512520
512517,广汽乘用车,传祺GM6,2019款 270T 自动 尊享版（七座）国VI,广汽传祺GM6全款购车4S店一直未给合格证,信息审核,2020-08-22,512517
512516,广汽乘用车,传祺GS5 Super,2015款 1.8T 自动 两驱 豪华导航版,广汽传祺GS5 Super挡杆锁止按钮损坏,信息审核,2020-08-22,512516
512515,北汽新能源,LITE,2017款 引力版,北汽新能源LITE续航里程不足希望处理	,信息审核,2020-08-22,512515
512514,上汽大众,桑塔纳,2015款 1.6L 自动 舒适型 浩纳,上汽大众桑塔纳刹车防抱死功能出现故障,信息审核,2020-08-22,512514
512512,广汽本田,皓影,2020款 锐·混动 2.0L 两驱 锐·幻夜版,广汽本田皓影4S店承诺赠送原厂配件未兑现,信息审核,2020-08-22,512512
512511,雷克萨斯,雷克萨斯GS,2016款 300h E-CVT 豪华版,雷克萨斯GS质保期内大灯开裂厂家不解决,信息审核,2020-08-22,512511
512509,长安马自达,马自达CX-5,2019款 2.0L 自动 两驱 智享型 云控版 国VI,长安马自达CX-5右侧电动后视镜无法回位,信息审核,2020-08-22,512509
512503,一汽-大众,速腾,2019款 200TSI DSG 舒适型 国VI,一汽大众速腾经销商拒绝按时交付车辆	,信息审核,2020-08-22,512503
512502,奇瑞汽车,捷途X90,2019款 1.5T 自动 尊享型 6座 国V,奇瑞捷途X90钥匙手环损坏厂家不索赔	,信息审核,2020-08-22,512502
512501,东风雷诺,科雷缤,2019款 TCe270 自动 劲享型,东风雷诺科雷缤胎压报警 私自终止互联服务	,信息审核,2020-08-22,512501
512497,上汽大众,朗逸,2019款 1.5L 自动 风尚版 国VI,上汽大众朗逸新车跑偏四轮定位无效,信息审核,2020-08-22,512497
512496,上汽大众,朗逸,2017款 1.6L 手动 舒适版,上汽大众朗逸车内一直有浓重的异味,信息审核,2020-08-22,512496
512495,上汽大众,途观L,2017款 330TSI 两驱 旗舰版,上汽大众途观L天窗漏水4S店不予解决,信息审核,2020-08-22,512495
512492,长安铃木,雨燕,2016款 1.5L 手动 时尚型 酷玩版,长安铃木雨燕4S店维修不到位服务态度差,信息审核,2020-08-22,512492
512489,奇瑞汽车,瑞虎5x,2017款 1.5T 自动 豪华型,奇瑞瑞虎5x驾驶位玻璃升降转向天窗异响,信息审核,2020-08-22,512489
512487,众泰汽车,众泰Z560,2017款 1.5T 手动 豪华型,众泰Z560启动噪音大 排气管歧管损坏,信息审核,2020-08-22,512487
512485,一汽-大众,探岳,2019款 330TSI 两驱 豪华型 国V,一汽大众探岳大灯起雾要求更换车灯,信息审核,2020-08-22,512485
512484,广汽本田,冠道,2017款 240TURBO CVT 两驱 豪华版,广汽本田冠道发动机故障灯亮消除故障灯未解决,信息审核,2020-08-22,512484
512483,一汽-大众,T-ROC探歌,2019款 230TSI DSG 两驱 进取型 国VI,一汽大众探歌大灯透镜有斑点和白雾,信息审核,2020-08-22,512483
512473,一汽-大众奥迪,奥迪Q5L,2020款 45 TFSI 尊享时尚型,一汽大众奥迪Q5L打开点火开关影音系统异响,信息审核,2020-08-22,512473
512471,江淮汽车,江淮iEV6E,2017款 iEV6E,江淮iEV6E售后服务网点少导致维修成本高,信息审核,2020-08-22,512471
512470,上汽大众,威然,2020款 380TSI 尊贵版,上汽大众威然发动机无法启动方向机锁死,信息审核,2020-08-22,512470
512460,东风本田,INSPIRE,2019款 260TURBO 精悦版 国V,东风本田INSPIRE低速状态加速时发动机异响,信息审核,2020-08-22,512460
512459,SWM斯威汽车,SWM斯威X7,2016款 1.8L 豪华型,斯威X7远程控制系统缴费后无法使用,信息审核,2020-08-22,512459
512458,福特（进口）,Ranger,2018款 3.2T DCi Wildtrak,进口福特Ranger发动机水箱及风扇故障,厂家受理,2020-08-22,512458
512456,上汽集团,荣威550,2010款 1.8DVVT 手动 启悦版,上汽荣威550手刹柄断裂存在质量问题,信息审核,2020-08-22,512456
512454,东风标致,标致3008,2013款 1.6T 自动 THP至尚版,东风标致3008行车电脑黑屏倒车影像无法使用,信息审核,2020-08-22,512454
512453,东风标致,标致206,2007款 1.4L 手动 跃动版,东风标致206转向以及喇叭失灵希望厂家处理,信息审核,2020-08-22,512453
512452,长城汽车,WEY VV5,2020款 1.5T 两驱 智先锋,WEY VV5变速箱脱挡希望厂家处理问题,厂家受理,2020-08-22,512452
512439,上汽通用五菱,五菱宏光V,2019款 1.5L 基本型 封窗车 国VI LAR,上汽通用五菱宏光V变速箱无法挂挡,处理反馈,2020-08-22,512439
512436,一汽-大众奥迪,奥迪A6L,2019款 45 TFSI quattro 臻选动感型,一汽大众奥迪A6L底盘异响维修未解决问题,信息审核,2020-08-22,512436
512430,东风标致,标致408,2018款 350THP 自动 豪华版,东风标致408行驶中发动机熄火存在安全隐患,信息审核,2020-08-22,512430
512425,一汽-大众,速腾,2019款 280TSI DSG 舒适型 国VI,一汽大众速腾离合器生锈希望厂家质保,信息审核,2020-08-22,512425
512424,江铃福特,全顺,2019款 2.0T 柴油 多功能商用车 短轴 中顶 6座 国VI,江铃福特全顺三元催化堵塞发动机漏机油,信息审核,2020-08-22,512424
512423,东风日产,天籁,2016款 2.0L XL 舒适版 改款,东风日产天籁发动机熄火后启动困难,信息审核,2020-08-22,512423
512420,北京现代,领动,2016款 1.6L 自动 智炫·精英型,北京现代领动前挡风玻璃异响希望厂家处理,信息审核,2020-08-22,512420
512416,一汽-大众,迈腾,2019款 280TSI DSG 舒适型 国VI,一汽大众迈腾发动机熄火存在质量问题,信息审核,2020-08-22,512416
512409,长城汽车,哈弗H2,2016款 1.5T 手动 两驱精英型,哈弗H2转向异响维修未解决问题异响问题存在,信息审核,2020-08-22,512409
512408,奇瑞汽车,艾瑞泽GX,2018款 1.5T CVT 型色版 国V,奇瑞艾瑞泽GX发动机异响希望厂家处理,信息审核,2020-08-22,512408
512403,广汽菲克菲亚特,菲翔,2012款 1.4T 自动 畅享版,广汽菲亚特菲翔车内异味希望厂家处理,信息审核,2020-08-22,512403
512400,东风本田,竞瑞,2017款 1.5L CVT 豪华版,东风本田竞瑞大灯起雾进水存在质量问题,信息审核,2020-08-22,512400
512397,一汽-大众,高尔夫,2016款 1.6L  自动 舒适型,一汽大众高尔夫变速箱微动开关有故障,信息审核,2020-08-22,512397
512396,东风雪铁龙,雪铁龙C4L,2013款 1.6THP 自动 劲智版,东风雪铁龙C4L发动机抖动 漏机油影响使用,信息审核,2020-08-22,512396
512391,东风日产,骐达TIIDA,2011款 1.6 CVT 舒适版 新骐达,东风日产骐达变速箱传感器故障希望厂家处理,信息审核,2020-08-22,512391
512390,北京奔驰,奔驰GLC,2019款 GLC 300 L 4MATIC 动感型 改款,北京奔驰GLC减震器断裂玻璃水渗漏,信息审核,2020-08-22,512390
512382,奇瑞汽车,艾瑞泽GX,2018款 1.5T CVT 型色版 国V,奇瑞艾瑞泽GX中控屏幕花屏希望厂家处理,信息审核,2020-08-22,512382
512378,一汽-大众,速腾,2018款 280TSI 双离合 舒适型,一汽大众速腾发动机冷启动怠速不正常,信息审核,2020-08-22,512378
512372,上汽大众,朗逸,2017款 1.6L 自动 舒适版,上汽大众朗逸韩泰轮胎有裂纹存在质量问题,信息审核,2020-08-22,512372
512371,长城汽车,哈弗H2,2016款 1.5T 自动 两驱豪华型,哈弗H2转向异响抖动希望厂家处理问题,信息审核,2020-08-22,512371
512369,吉利新能源,帝豪新能源,2017款 EV300 精英型 三厢,吉利帝豪新能源充电机无法充电希望厂家处理,信息审核,2020-08-22,512369
512368,猎豹汽车,猎豹CS9,2018款 1.5T CVT 劲朗型,猎豹CS9刹车管爆裂底盘生锈 车身异响,信息审核,2020-08-22,512368
512367,长安汽车,长安CS55,2017款 1.5T 手动 炫色型,长安CS55怠速抖动希望厂家更换发动机,信息审核,2020-08-22,512367
512360,吉利汽车,帝豪GL,2017款 1.3T 自动 尊贵型,吉利帝豪GL经销商维修后漆面生锈有色差,信息审核,2020-08-22,512360
512359,奇瑞汽车,艾瑞泽5,2016款 1.5L CVT 领潮版,奇瑞艾瑞泽5左后门生锈存在质量问题,信息审核,2020-08-22,512359
512353,奇瑞汽车,瑞虎3,2016款 1.6L 手动 智尚版,奇瑞瑞虎3车门腐蚀生锈发电机皮带断裂,信息审核,2020-08-22,512353
512339,众泰汽车,大迈X7,2017款 1.8T 手动 豪华型,众泰大迈X7底盘和车身有大面积生锈现象	,信息审核,2020-08-22,512339
512338,长城汽车,哈弗H6 Coupe,2018款 1.5T 自动 两驱 超豪型 红标,哈弗H6 Coupe前挡玻璃出现水纹状裂痕,处理反馈,2020-08-22,512338
512329,东风日产,劲客,2020款 1.5L XE 手动 酷动版,东风日产劲客变速箱顿挫异响希望厂家处理,信息审核,2020-08-22,512329
512327,上汽大众,途观L新能源,2019款 430PHEV 混动豪华版,上汽大众途观L新能源转向失灵天窗漏水,信息审核,2020-08-22,512327
512322,广汽丰田,凯美瑞,2019款 改款 2.5G 豪华版,广汽丰田凯美瑞玻璃开裂售后不予质保,信息审核,2020-08-21,512322
512318,一汽-大众奥迪,奥迪Q3,2018款 30 TFSI 风尚型典藏版,一汽大众奥迪Q3天窗漏水导致车内积水,信息审核,2020-08-21,512318
512316,凯翼汽车,凯翼C3R,2015款 1.5L AMT 金钻版,凯翼C3R变速箱频繁跳挡要求免费维修,处理反馈,2020-08-21,512316
512315,一汽-大众,宝来,2016款 1.6L 手动 舒适型,一汽大众宝来车窗亮条氧化生锈希望厂家处理,信息审核,2020-08-21,512315
512313,北京现代,领动,2019款 1.5L CVT 智炫·精英型,北京现代领动漆面有色差希望厂家处理,信息审核,2020-08-21,512313
512311,华晨中华,中华H3,2017款 1.5L 手动 豪华型,华晨中华H3汽油泵故障厂家不予质保,信息审核,2020-08-21,512311
512310,一汽-大众,高尔夫,2016款 230TSI 自动 舒适型,一汽大众高尔夫机油压力调节阀渗油,信息审核,2020-08-21,512310
512309,众泰汽车,众泰E200,2018款 飞鱼座,众泰E200无法提供售后服务欺骗消费者,信息审核,2020-08-21,512309
512304,广汽本田,缤智,2019款 220 TURBO CVT 精英版 国V,广汽本田缤智行驶过程中熄火启动困难,信息审核,2020-08-21,512304
512300,一汽-大众,探岳,2019款 330TSI 两驱 豪华型 国Ⅵ,一汽大众探岳大灯有阴影希望厂家处理问题,信息审核,2020-08-21,512300
512298,华晨宝马,宝马3系,2020款 325i M运动曜夜套装,华晨宝马3系中控影音系统频繁重启,信息审核,2020-08-21,512298
512296,一汽-大众,探岳,2019款 330TSI 四驱 豪华型 国V,一汽大众探岳购车时随车未提供保养手册,信息审核,2020-08-21,512296
512295,一汽-大众奥迪,奥迪A4L,2020款 40 TFSI 时尚动感型,一汽大众奥迪A4L后窗玻璃无缘无故爆裂,信息审核,2020-08-21,512295
512293,猎豹汽车,猎豹CS9,2017款 1.5L 手动 风尚型,猎豹CS9中控显示屏无法开机导致无法使用,信息审核,2020-08-21,512293
512288,东风日产,逍客,2016款 2.0L CVT 精英版,东风日产逍客变速箱打滑希望厂家质保,信息审核,2020-08-21,512288
512286,北京现代,领动插电混动,2019款 1.6L PHX 乐行版,北京现代领动插电混动电瓶亏电存在质量问题,信息审核,2020-08-21,512286
512284,一汽奔腾,奔腾X40,2017款 1.6L 自动 尊享型,一汽奔腾X40发动机抖动希望厂家处理,处理反馈,2020-08-21,512284
512282,北京奔驰,奔驰GLA,2018款 220 4MATIC 运动型,北京奔驰GLA传感器损坏导致车辆失控,信息审核,2020-08-21,512282
512278,长安凯程,长安神骐F30,2018款 1.5L 精英版 短轴 DAM15L,长安神骐F30行驶中跑偏晃动影响行车安全,信息审核,2020-08-21,512278
512273,上汽大众,凌渡,2019款 280TSI DSG 舒适版 国V,上汽大众凌渡踩刹车异响希望厂家处理问题,信息审核,2020-08-21,512273
512271,上汽大众,凌渡,2019款 280TSI DSG 舒适版 国VI,上汽大众凌渡前挡风玻璃开裂存在质量问题,信息审核,2020-08-21,512271
512264,一汽-大众,T-ROC探歌,2019款 280TSI DSG 两驱 舒适型 国VI,一汽大众探歌两侧尾灯内部出现许多裂纹,信息审核,2020-08-21,512264
512263,北京现代,菲斯塔,2019款 280TGDi 智速版 国VI,北京现代菲斯塔天窗异响希望厂家处理,信息审核,2020-08-21,512263
512261,奇瑞汽车,瑞虎7,2020款 1.5T CVT 精英型,奇瑞瑞虎7空挡抖动售后未解决问题,信息审核,2020-08-21,512261
512251,一汽-大众,迈腾,2011款 1.8TSI DSG 豪华型,一汽大众迈腾变速箱跳挡希望厂家质保,信息审核,2020-08-21,512251
512250,一汽-大众,速腾,2014款 1.4TSI 自动 豪华型,一汽大众速腾油箱盖打不开希望厂家处理,信息审核,2020-08-21,512250
512249,宇通,C535小顶房车,宇通c535小顶无拓房车,宇通C535小顶房车电机烧毁希望厂家处理,信息审核,2020-08-21,512249
512248,一汽-大众,宝来,2019款 宝来·传奇 1.5L 自动 领先型 国VI,一汽大众宝来刹车真空泵异响希望厂家处理,信息审核,2020-08-21,512248
512242,上汽大众,途昂,2017款 380TSI 四驱 豪华版,上汽大众途昂发动机漏防冻液希望厂家处理,信息审核,2020-08-21,512242
512235,一汽丰田,RAV4荣放,2016款 2.0L CVT 两驱 风尚版 国V,一汽丰田RAV4荣放空调压缩机出现损坏,信息审核,2020-08-21,512235
512234,福田汽车,欧曼,2008款 BJ4181SLFJA-6 牵引,福田欧曼车架断裂希望厂厂家处理问题,信息审核,2020-08-21,512234
512233,华晨宝马,宝马3系,2020款 改款 325Li M运动套装,华晨宝马3系置换补贴未兑现希望厂家处理,信息审核,2020-08-21,512233
512230,上汽大众,朗逸,2019款 280TSI DSG 豪华版 国VI,上汽大众朗逸变速箱异响顿挫 失去动力,信息审核,2020-08-21,512230
512226,上汽大众,途安,2018款 途安L 280TSI DSG 舒适版 7座 国V,上汽大众途安变速箱挡把总成故障,信息审核,2020-08-21,512226
512225,上汽大众,途观,2016款 300TSI 自动 两驱 豪华版,上汽大众途观L机电单元故障希望处理,信息审核,2020-08-21,512225
512222,一汽-大众,迈腾,2017款 330TSI DSG 豪华型,一汽大众迈腾仪表提示变速箱处于紧急模式,信息审核,2020-08-21,512222
512220,一汽-大众奥迪,奥迪A3,2020款 Limousine 35 TFSI 进取型 国VI,一汽大众奥迪A3变速箱异响抖动希望厂家处理,信息审核,2020-08-21,512220
512217,东风标致,标致408,2015款 1.2T 自动 豪华版,东风标致408发动机烧机油 固特异轮胎开裂,信息审核,2020-08-21,512217
512209,一汽-大众,T-ROC探歌,2020款 280TSI DSG 两驱 舒适型,一汽大众探歌大灯有印记希望厂家处理,信息审核,2020-08-21,512209
512202,一汽-大众奥迪,奥迪Q3,2019款 35 TFSI 时尚致雅型,一汽大众奥迪Q3刹车异响希望厂家处理问题,信息审核,2020-08-21,512202
512200,奇瑞汽车,捷途X90,2019款 1.5T 手动 智享型 5座 国V,捷途X90漆面多处开裂希望厂家处理问题,信息审核,2020-08-21,512200
512199,上汽大众,朗逸,2014款 1.4TSI DSG蓝驱技术版,上汽大众朗逸变速箱抖动无法行驶,信息审核,2020-08-21,512199
512198,上汽大众,朗逸,2013款 1.6L  自动 风尚版,上汽大众朗逸车内异味希望厂家处理问题,信息审核,2020-08-21,512198
512194,上汽大众,途观L,2018款 330TSI 自动 两驱 舒适版,上汽大众途观L发动机异响厂家一直未解决,信息审核,2020-08-21,512194
512193,广汽本田,飞度,2016款 1.5L LX CVT 舒适型,广汽本田飞度发动机异响希望厂家处理问题,处理反馈,2020-08-21,512193
512189,一汽-大众,T-ROC探歌,2018款 280TSI DSG 两驱 舒适型 国VI,一汽大众探歌左前转向灯与后尾灯进水,信息审核,2020-08-21,512189
512188,比亚迪,比亚迪e2,2019款 高续航版 耀·豪华型,比亚迪e2车辆自燃要求尽快处理问题,用户评分,2020-08-21,512188
512185,中国重汽,豪沃,轻型仓栅式货车,中国重汽豪沃轮毂螺丝脱落造成车轮变形,信息审核,2020-08-21,512185
512178,北京现代,途胜,2015款 1.6T   双离合 两驱 智能型,北京现代途胜发动机抖动 故障灯亮,信息审核,2020-08-21,512178
512174,华晨中华,中华V7,2018款 280T DCT 豪华型 5座,中华V7发动机有漏油的现象要求处理	,信息审核,2020-08-21,512174
512172,长城汽车,欧拉黑猫,2019款 灵趣版 310km,欧拉黑猫车联网服务无法使用厂家不解决,处理反馈,2020-08-21,512172
512170,一汽丰田,皇冠,2015款 2.0T  精英版,一汽丰田皇冠车辆后挡风玻璃自爆,信息审核,2020-08-21,512170
512168,众泰汽车,云100,2014款 云100 舒适型,众泰云100动力电池故障无配件4S店不处理,信息审核,2020-08-21,512168
512159,东风日产,骐达TIIDA,2021款 1.6L CVT 智行版,东风日产骐达电瓶故障导致亏电希望处理,信息审核,2020-08-21,512159
512158,观致汽车,观致3,2016款 1.6L 自动 致悦型 三厢,观致3空调调节故障 变速箱异响,信息审核,2020-08-21,512158
512155,广汽本田,雅阁,2016款 2.0L CVT  舒适版,广汽本田雅阁安全带异响 扶手箱异响,处理反馈,2020-08-21,512155
512154,华晨中华,中华V7,2019款 运动款 280T 自动 豪华型,华晨中华V7空调压缩机损坏厂家不提供配件,信息审核,2020-08-21,512154
512150,华晨宝马,宝马3系,2020款 325Li M运动套装,华晨宝马3系发动机漏防冻液希望厂家处理,信息审核,2020-08-21,512150
512143,Jeep（进口）,指南者（进口）,2014款 2.4L 自动 四驱 舒适版 改款,进口Jeep指南者车内异味希望尽快处理,厂家受理,2020-08-21,512143
